fuel_type,buy_amount,buy_validation_msg,order_id,buy_validation_order,buy_validation_fuel_type,buy_validation_fuel_amount
1,23,fail,d3364e04-badf-4da2-9bc7-50ff6430ae19,pass,pass,pass
2,15,skipped,,Skip - No ID,,
3,10,pass,8f19c78d-ced7-4083-9238-26fd0ebe24e5,pass,fail,pass
4,25,pass,d4026d96-484b-4aa5-8957-7b0fe6d58f66,pass,fail,pass
