fuel_type,buy_amount,buy_validation_msg,order_id,buy_validation_order,buy_validation_fuel_type,buy_validation_fuel_amount
1,23,fail,c98eb763-c6b1-4b7a-9905-1bb79fec6015,pass,pass,pass
2,15,skipped,,Skip - No ID,,
3,10,pass,82fc2606-9fdd-4a3c-8696-c5feef4715f9,pass,fail,pass
4,25,pass,3421b505-d0d1-498f-8f6d-b8c1799345dc,pass,fail,pass
